GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
127687	0.999925	9.27e-01	0.1955	-0.0913641	-0.01786042	136.91	C1orf122	chromosome 1 open reading frame 122
4520	0.999925	6.12e-01	0.2146	0.5067842	0.10877767	263.25	MTF1	metal regulatory transcription factor 1
3633	0.999925	3.52e-01	0.1966	0.9315357	0.18315924	400.84	INPP5B	inositol polyphosphate-5-phosphatase B
10946	0.999925	2.81e-01	0.1817	-1.0776182	-0.19585524	1276.79	SF3A3	splicing factor 3a subunit 3
2275	0.999925	6.49e-02	0.5588	1.8458482	1.03152925	332.12	FHL3	four and a half LIM domains 3
51118	0.999925	2.83e-01	0.2927	-1.0725742	-0.31389931	536.26	UTP11	UTP11 small subunit processome component
64121	0.999925	3.79e-01	0.2967	-0.8788534	-0.2607382	299.04	RRAGC	Ras related GTP binding C
100527950	0.999925	6.50e-01	0.2328	-0.454058	-0.10570027	444.63	GJA9-MYCBP	GJA9-MYCBP readthrough
26292	0.999925	6.49e-01	0.2348	-0.454805	-0.10679386	440.53	MYCBP	MYC binding protein
54933	0.999925	7.89e-01	0.3089	0.2670004	0.0824684	104.61	RHBDL2	rhomboid like 2
79647	0.999925	8.18e-01	0.1557	-0.230672	-0.03592695	278.3	AKIRIN1	akirin 1
4725	0.999925	3.29e-01	0.3369	-0.975604	-0.32863826	1181.31	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5
23499	0.999925	5.97e-01	0.1633	0.5292309	0.08644019	868.46	MACF1	microtubule actin crosslinking factor 1
8761	0.999925	4.59e-01	0.1854	0.74114	0.13739188	1804.62	PABPC4	poly(A) binding protein cytoplasmic 4
101929516	0.999925	7.26e-01	0.2446	0.3508244	0.08579799	135.16	PABPC4-AS1	PABPC4 antisense RNA 1
10450	0.999925	8.01e-01	0.1473	-0.252546	-0.03720287	596.05	PPIE	peptidylprolyl isomerase E
656	0.999925	7.43e-01	1.1371	0.327273	0.37212985	62.9	BMP8B	bone morphogenetic protein 8b
54802	0.999925	9.98e-01	0.3893	-0.0029117	-0.00113347	436.16	TRIT1	tRNA isopentenyltransferase 1
4610	0.999925	2.51e-01	0.1757	1.1473048	0.20159897	90.37	MYCL	MYCL proto-oncogene, bHLH transcription factor
84879	0.999925	2.95e-01	0.2007	1.048295	0.21038607	133.33	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid
10487	0.999925	5.19e-01	0.1345	0.6449967	0.08676383	3388.71	CAP1	cyclase associated actin cytoskeleton regulatory protein 1
5538	0.999925	8.03e-01	0.172	-0.2498866	-0.04297978	3655.53	PPT1	palmitoyl-protein thioesterase 1
6018	0.999925	9.62e-01	0.2873	0.0472875	0.01358528	502.49	RLF	RLF zinc finger
10269	0.999925	4.95e-01	0.3025	-0.682386	-0.206396	439.89	ZMPSTE24	zinc metallopeptidase STE24
64744	0.999925	3.84e-01	0.2692	0.8700736	0.23422478	319.65	SMAP2	small ArfGAP2
65243	0.999925	9.81e-01	0.5139	0.0243192	0.01249727	29.26	ZFP69B	ZFP69 zinc finger protein B
339559	0.999925	6.84e-01	0.2461	0.406756	0.10008782	38.49	ZFP69	ZFP69 zinc finger protein
64789	0.999925	8.48e-01	0.4487	-0.1922693	-0.08626844	72.59	EXO5	exonuclease 5
127396	0.999925	9.75e-01	0.3134	0.0310523	0.00973298	28.26	ZNF684	zinc finger protein 684
9783	0.999925	9.43e-01	0.391	0.0716608	0.02802014	30.83	RIMS3	regulating synaptic membrane exocytosis 3
100130557	0.999925	8.83e-01	0.3089	0.1467351	0.04532942	35.3	NFYC-AS1	NFYC antisense RNA 1
4802	0.999925	4.99e-01	0.1789	0.6763506	0.1209986	943.38	NFYC	nuclear transcription factor Y subunit gamma
163732	0.999925	6.85e-02	0.3387	1.8215555	0.61703576	287.09	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
1503	0.999925	6.52e-01	0.3904	0.4512539	0.17614996	279.51	CTPS1	CTP synthase 1
22955	0.999925	8.20e-01	0.5525	0.2270188	0.12543098	265.53	SCMH1	Scm polycomb group protein homolog 1
100132074	0.999925	1.02e-01	0.4288	-1.6374029	-0.70209267	43.15	FOXO6	forkhead box O6
1907	0.999925	3.56e-01	1.0148	-0.9235046	-0.93714831	301.73	EDN2	endothelin 2
59269	0.999925	6.78e-02	0.2413	1.8263849	0.4406523	286.48	HIVEP3	HIVEP zinc finger 3
22887	0.999925	4.40e-01	0.2092	0.7725699	0.16160243	625	FOXJ3	forkhead box J3
728621	0.999925	5.72e-01	0.2012	-0.5646201	-0.11360013	78.65	CCDC30	coiled-coil domain containing 30
79717	0.999925	8.95e-01	0.0984	-0.1322242	-0.01301187	368.46	PPCS	phosphopantothenoylcysteine synthetase
10465	0.999925	5.46e-01	0.1403	-0.604346	-0.08480519	494.99	PPIH	peptidylprolyl isomerase H
4904	0.999925	8.63e-01	0.3109	-0.1726096	-0.05366672	16965.81	YBX1	Y-box binding protein 1
64175	0.999925	7.77e-01	0.4389	0.2830285	0.12422179	185.46	P3H1	prolyl 3-hydroxylase 1
79078	0.999925	9.16e-01	0.1357	-0.105056	-0.01425561	162.66	C1orf50	chromosome 1 open reading frame 50
374969	0.999925	2.75e-01	0.2464	-1.092212	-0.26912099	191.62	SVBP	small vasohibin binding protein
114625	0.999925	9.36e-01	0.1917	-0.080297	-0.01539233	212.62	ERMAP	erythroblast membrane associated protein (Scianna blood group)
51058	0.999925	7.72e-01	0.219	0.2903226	0.06356659	93.37	ZNF691	zinc finger protein 691
6513	0.999925	3.65e-01	0.2652	-0.9054418	-0.24009696	2163.17	SLC2A1	solute carrier family 2 member 1
440584	0.999925	1.10e-01	0.4273	-1.597039	-0.68249442	20.34	SLC2A1-DT	SLC2A1 divergent transcript
10969	0.999925	1.10e-01	0.1606	-1.5960984	-0.25630965	797.78	EBNA1BP2	EBNA1 binding protein 2
149465	0.999925	2.60e-01	0.5959	1.1273551	0.67174022	29.77	CFAP57	cilia and flagella associated protein 57
128218	0.999925	7.97e-01	0.2534	0.2574241	0.06522937	132.04	TMEM125	transmembrane protein 125
149466	0.999925	2.19e-01	0.2206	-1.2280616	-0.27093678	193.96	C1orf210	chromosome 1 open reading frame 210
105378687	0.999925	6.14e-01	0.2032	-0.5045387	-0.10251145	61.54	CDC20-DT	CDC20 divergent transcript
991	0.999925	6.31e-01	0.1613	0.4796542	0.07736121	2507.45	CDC20	cell division cycle 20
64834	0.999925	6.32e-01	0.2282	0.4785705	0.10919495	1577.81	ELOVL1	ELOVL fatty acid elongase 1
112950	0.999925	1.51e-01	0.0841	-1.4345403	-0.12068456	380.3	MED8	mediator complex subunit 8
107984947	0.999925	4.44e-01	0.2916	-0.766251	-0.22342326	19.13	MED8-AS1	MED8 antisense RNA 1
23334	0.999925	4.95e-01	0.2512	0.6817205	0.17125748	229.82	SZT2	SZT2 subunit of KICSTOR complex
81888	0.999925	5.03e-01	0.2554	0.6693646	0.17094076	63.87	HYI	hydroxypyruvate isomerase (putative)
5792	0.999925	3.48e-01	0.2098	0.93831	0.19682532	2729.7	PTPRF	protein tyrosine phosphatase receptor type F
9682	0.999925	2.16e-01	0.2111	-1.2365637	-0.26100825	364.28	KDM4A	lysine demethylase 4A
100132774	0.999925	6.77e-01	0.4074	-0.417101	-0.16992858	29.55	KDM4A-AS1	KDM4A antisense RNA 1
6487	0.999925	5.91e-01	0.5897	0.537466	0.31695212	141.21	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
9048	0.999925	7.25e-01	0.2179	0.3520758	0.0767154	254.82	ARTN	artemin
9670	0.999925	9.68e-01	0.2737	-0.0395257	-0.01081859	252.29	IPO13	importin 13
1802	0.999925	5.75e-01	0.3897	0.5612392	0.21874086	148.41	DPH2	diphthamide biosynthesis 2
533	0.999925	8.84e-01	0.2941	-0.1456488	-0.04283107	570.7	ATP6V0B	ATPase H+ transporting V0 subunit b
8704	0.999925	2.35e-01	0.402	1.1879039	0.47754862	534.16	B4GALT2	beta-1,4-galactosyltransferase 2
149473	0.999925	5.30e-02	0.4681	1.9345214	0.90550087	167.98	CCDC24	coiled-coil domain containing 24
6536	0.999925	8.91e-01	0.449	0.1367217	0.06138408	705.52	SLC6A9	solute carrier family 6 member 9
55929	0.999925	1.09e-01	0.3	-1.6027284	-0.48089412	177.31	DMAP1	DNA methyltransferase 1 associated protein 1
79033	0.999925	8.10e-01	0.2938	0.2401123	0.07055077	717.18	ERI3	ERI1 exoribonuclease family member 3
55182	0.999925	9.71e-01	0.2916	-0.036109	-0.01052967	388.17	RNF220	ring finger protein 220
107984950	0.999925	6.43e-01	0.2935	0.4638396	0.13615661	100.62	LOC107984950	uncharacterized LOC107984950
79639	0.999925	3.88e-01	0.2704	0.8639159	0.23360588	129.8	TMEM53	transmembrane protein 53
26830	0.999925	4.89e-01	1.492	0.6915494	1.03178456	24.02	RNU5D-1	RNA, U5D small nuclear 1
11004	0.999925	8.40e-01	0.2971	0.2012779	0.0598033	1711.37	KIF2C	kinesin family member 2C
6202	0.999925	7.49e-01	0.1696	0.3205142	0.05437394	24592.24	RPS8	ribosomal protein S8
1263	0.999925	2.75e-02	0.4174	2.2037321	0.91993498	69.36	PLK3	polo like kinase 3
8891	0.999925	3.12e-01	0.285	-1.011084	-0.28816279	177.1	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma
79654	0.999925	4.94e-01	0.2891	0.6844115	0.19786914	328.42	HECTD3	HECT domain E3 ubiquitin protein ligase 3
7389	0.999925	7.84e-01	0.1727	-0.2741709	-0.04734173	393.21	UROD	uroporphyrinogen decarboxylase
84842	0.999925	3.92e-01	0.4063	0.8555607	0.34763126	39.2	HPDL	4-hydroxyphenylpyruvate dioxygenase like
4595	0.999925	5.43e-01	0.2625	0.6078099	0.1595683	87.11	MUTYH	mutY DNA glycosylase
114034	0.999925	7.76e-01	0.3316	-0.28449	-0.09432567	105.35	TOE1	target of EGR1, exonuclease
10420	0.999925	9.29e-01	0.3573	-0.0893109	-0.03191072	117.78	TESK2	testis associated actin remodelling kinase 2
126661	0.999925	9.94e-01	0.2541	0.0077725	0.00197535	67.36	CCDC163	CCDC163 homolog
25974	0.999925	5.32e-01	0.1478	-0.6250403	-0.09235527	1740.03	MMACHC	metabolism of cobalamin associated C
5052	0.999925	3.55e-01	0.1178	-0.9247304	-0.10892109	13603.88	PRDX1	peroxiredoxin 1
10327	0.999925	4.48e-01	0.2283	0.7581533	0.17306624	1744.12	AKR1A1	aldo-keto reductase family 1 member A1
4678	0.999925	4.59e-01	0.2485	-0.7400008	-0.18391358	400.44	NASP	nuclear autoantigenic sperm protein
60313	0.999925	9.17e-01	0.1369	-0.1040544	-0.01424018	1345.77	GPBP1L1	GC-rich promoter binding protein 1 like 1
51249	0.999925	8.85e-01	0.2652	-0.1451848	-0.03850073	1062.38	TMEM69	transmembrane protein 69
3652	0.999925	7.95e-01	0.3516	-0.2594737	-0.0912399	109.33	IPP	intracisternal A particle-promoted polypeptide
23139	0.999925	3.39e-01	0.3554	0.9557473	0.33968259	286.8	MAST2	microtubule associated serine/threonine kinase 2
110117499	0.999925	2.91e-01	0.3224	-1.0554438	-0.34023688	136.69	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough
8503	0.999925	3.12e-01	0.3166	-1.0102689	-0.31984053	164.44	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
10103	0.999925	3.56e-01	0.1489	0.9226502	0.13740114	3119.18	TSPAN1	tetraspanin 1
55624	0.999925	8.12e-01	0.3001	0.2377039	0.0713249	266.42	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
8438	0.999925	6.13e-01	0.2061	0.50574	0.10424199	194.03	RAD54L	RAD54 like
10489	0.999925	8.99e-02	0.2192	1.6960349	0.37169114	916.78	LRRC41	leucine rich repeat containing 41
7388	0.999925	2.74e-01	0.2587	-1.0946772	-0.28320833	5089.98	UQCRH	ubiquinol-cytochrome c reductase hinge protein
387338	0.999925	7.67e-01	0.0995	0.2959762	0.02945533	281.49	NSUN4	NOP2/Sun RNA methyltransferase 4
2166	0.999925	6.01e-01	0.5738	0.5235885	0.30045411	60.84	FAAH	fatty acid amide hydrolase
100507423	0.999925	8.62e-01	0.2706	-0.1739264	-0.04706118	64.1	MKNK1-AS1	MKNK1 antisense RNA 1
8569	0.999925	8.84e-01	0.2492	-0.1463376	-0.03646865	852.16	MKNK1	MAPK interacting serine/threonine kinase 1
148932	0.999925	6.40e-01	0.5062	-0.4672575	-0.23651953	196.77	MOB3C	MOB kinase activator 3C
64756	0.999925	2.13e-01	0.1763	-1.2463264	-0.21978626	1066.88	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1
9813	0.999925	3.92e-01	0.0954	0.8557759	0.08161127	2709.84	EFCAB14	EF-hand calcium binding domain 14
1580	0.999925	9.69e-01	0.8632	0.0385392	0.03326673	174.93	CYP4B1	cytochrome P450 family 4 subfamily B member 1
10158	0.999925	1.10e-01	1.2989	1.5988381	2.07671383	124.04	PDZK1IP1	PDZK1 interacting protein 1
6491	0.999925	5.82e-01	0.1782	-0.5499333	-0.09799484	798	STIL	STIL centriolar assembly protein
51727	0.999925	5.44e-01	0.2324	-0.6070604	-0.14105882	721.5	CMPK1	cytidine/uridine monophosphate kinase 1
102724077	0.999925	5.22e-01	0.336	-0.6401886	-0.21512945	28.78	LINC01389	long intergenic non-protein coding RNA 1389
84793	0.999925	7.32e-01	0.4896	0.3423114	0.16761106	43.71	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1
11124	0.999925	8.03e-01	0.1189	-0.249868	-0.0297156	852.45	FAF1	Fas associated factor 1
1031	0.999925	6.48e-01	0.3486	-0.4567897	-0.15923698	194.71	CDKN2C	cyclin dependent kinase inhibitor 2C
26994	0.999925	8.85e-01	0.21	-0.1443949	-0.03032358	638.17	RNF11	ring finger protein 11
22996	0.999925	6.52e-01	0.9877	0.4509525	0.4454234	60	TTC39A	tetratricopeptide repeat domain 39A
2060	0.999925	6.51e-01	0.255	0.4528241	0.11547026	1187.01	EPS15	epidermal growth factor receptor pathway substrate 15
114883	0.999925	6.14e-01	0.4873	-0.5042426	-0.2457058	1052.66	OSBPL9	oxysterol binding protein like 9
4898	0.999925	6.83e-01	0.2485	-0.4084714	-0.10151324	1439.16	NRDC	nardilysin convertase
105378721	0.999925	6.72e-01	0.2278	-0.4230427	-0.09635288	95.41	LOC105378721	
5865	0.999925	9.48e-01	1.8064	-0.065088	-0.11757283	108.61	RAB3B	RAB3B, member RAS oncogene family
51060	0.999925	8.24e-01	0.2783	-0.2219584	-0.06176768	2766.79	TXNDC12	thioredoxin domain containing 12
112970	0.999925	3.65e-01	0.2447	0.9059669	0.22164516	49.75	KTI12	KTI12 chromatin associated homolog
91408	0.999925	9.21e-01	0.358	0.0991857	0.03550795	729.93	BTF3L4	basic transcription factor 3 like 4
9372	0.999925	9.79e-01	0.2645	0.0261669	0.0069205	268.56	ZFYVE9	zinc finger FYVE-type containing 9
200014	0.999925	5.28e-01	0.1639	-0.6308828	-0.10341343	155.77	CC2D1B	coiled-coil and C2 domain containing 1B
4998	0.999925	7.68e-01	0.1768	-0.2951798	-0.05218782	726.58	ORC1	origin recognition complex subunit 1
84950	0.999925	3.80e-01	0.2703	-0.8786426	-0.23752855	783.85	PRPF38A	pre-mRNA processing factor 38A
23318	0.999925	3.73e-01	0.3141	0.8906252	0.27970978	333.14	TUT4	terminal uridylyl transferase 4
65260	0.999925	9.30e-01	0.4297	-0.0875851	-0.03763852	138.18	COA7	cytochrome c oxidase assembly factor 7
79699	0.999925	9.01e-01	0.3963	0.1250013	0.04953705	469.98	ZYG11B	zyg-11 family member B, cell cycle regulator
55268	0.999925	6.36e-01	0.1885	0.4727114	0.0891204	68.82	ECHDC2	enoyl-CoA hydratase domain containing 2
6342	0.999925	6.41e-01	0.2978	-0.4665278	-0.13894734	706.76	SCP2	sterol carrier protein 2
1376	0.999925	6.69e-01	0.1895	0.4281403	0.08112212	855.06	CPT2	carnitine palmitoyltransferase 2
54987	0.999925	8.76e-01	0.2873	-0.155625	-0.04471053	372.16	CZIB	CXXC motif containing zinc binding protein
4116	0.999925	2.17e-01	0.3466	-1.2348504	-0.42798271	156.2	MAGOH	mago homolog, exon junction complex subunit
100507564	0.999925	7.81e-01	0.2885	0.2780614	0.0802255	29.26	MAGOH-DT	MAGOH divergent transcript
7804	0.999925	9.42e-01	0.4236	0.0727798	0.03083274	400.05	LRP8	LDL receptor related protein 8
55706	0.999925	7.90e-01	0.2767	-0.266455	-0.07374	1865.11	NDC1	NDC1 transmembrane nucleoporin
54432	0.999925	7.60e-01	0.1221	0.3055572	0.03730765	811.84	YIPF1	Yip1 domain family member 1
51668	0.999925	3.75e-01	0.2931	-0.8872797	-0.26006369	696.54	HSPB11	heat shock protein family B (small) member 11
115353	0.999925	4.01e-01	0.0663	0.839711	0.05563236	1463.16	LRRC42	leucine rich repeat containing 42
9528	0.999925	5.04e-01	0.2524	-0.668899	-0.16882779	1743.21	TMEM59	transmembrane protein 59
127428	0.999925	2.78e-01	0.1237	-1.0841916	-0.13412978	152.73	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2
606495	0.999925	1.95e-01	0.1717	-1.2970174	-0.22274917	92.42	CYB5RL	cytochrome b5 reductase like
51253	0.999925	9.62e-01	0.1906	-0.0479158	-0.00913381	3296.79	MRPL37	mitochondrial ribosomal protein L37
23648	0.999925	2.28e-01	0.3762	-1.2045556	-0.45316972	2390.32	SSBP3	single stranded DNA binding protein 3
26027	0.999925	4.70e-01	0.6657	-0.7219388	-0.48057368	125.94	ACOT11	acyl-CoA thioesterase 11
338094	0.999925	3.79e-01	0.8298	-0.8802499	-0.730414	24.2	FAM151A	family with sequence similarity 151 member A
100527960	0.999925	5.17e-01	0.2192	-0.6483455	-0.14210673	112.72	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)
7268	0.999925	4.44e-01	0.2325	-0.765783	-0.17802739	116.91	TTC4	tetratricopeptide repeat domain 4
25973	0.999925	2.42e-01	0.1999	1.1701919	0.23390903	194.86	PARS2	prolyl-tRNA synthetase 2, mitochondrial
55001	0.999925	8.24e-01	0.5065	-0.2220945	-0.11249675	233.21	TTC22	tetratricopeptide repeat domain 22
1718	0.999925	5.27e-01	0.2504	0.6329376	0.15849727	4805.81	DHCR24	24-dehydrocholesterol reductase
107984958	0.999925	4.11e-01	0.3558	-0.8228552	-0.29274625	19.71	DHCR24-DT	DHCR24 divergent transcript
255738	0.999925	2.75e-01	0.4118	1.0923879	0.44980376	726.29	PCSK9	proprotein convertase subtilisin/kexin type 9
23358	0.999925	6.66e-01	0.1219	0.4319189	0.05264878	720.84	USP24	ubiquitin specific peptidase 24
8613	0.999925	4.14e-01	0.4261	0.816085	0.34771589	53.67	PLPP3	phospholipid phosphatase 3
115209	0.999925	7.27e-01	0.3286	-0.3494641	-0.11482395	217.42	OMA1	OMA1 zinc metallopeptidase
114803	0.999925	7.08e-01	0.401	-0.3751601	-0.15042618	224	MYSM1	Myb like, SWIRM and MPN domains 1
3725	0.999925	1.64e-02	0.3616	2.3988351	0.86741939	71.11	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
101926907	0.999925	8.99e-01	0.5457	-0.1270848	-0.0693532	20.65	LOC101926907	uncharacterized LOC101926907
55277	0.999925	9.39e-01	0.5872	0.0764756	0.04490476	66.32	FGGY	FGGY carbohydrate kinase domain containing
51361	0.999925	7.43e-01	0.6265	-0.3282156	-0.205632	87.16	HOOK1	hook microtubule tethering protein 1
4774	0.999925	5.69e-01	0.4727	0.5697442	0.26931232	476.93	NFIA	nuclear factor I A
83941	0.999925	9.75e-01	0.4434	-0.0314969	-0.01396454	241.67	TM2D1	TM2 domain containing 1
10207	0.999925	1.93e-01	0.3387	1.3014719	0.44078168	515.17	PATJ	PATJ crumbs cell polarity complex component
7398	0.999925	4.38e-01	0.435	-0.7752382	-0.33722957	222.89	USP1	ubiquitin specific peptidase 1
85440	0.999925	8.22e-01	0.3077	0.225336	0.06934601	490.79	DOCK7	dedicator of cytokinesis 7
84938	0.999925	6.02e-01	0.5032	-0.5217933	-0.26258402	77.99	ATG4C	autophagy related 4C cysteine peptidase
29929	0.999925	5.85e-01	0.2542	-0.5459402	-0.13877779	233.38	ALG6	ALG6 alpha-1,3-glucosyltransferase
23421	0.999925	3.01e-01	0.4037	-1.0334731	-0.41722054	267.02	ITGB3BP	integrin subunit beta 3 binding protein
84455	0.999925	4.19e-01	0.3965	-0.8083979	-0.32053561	46.98	EFCAB7	EF-hand calcium binding domain 7
5236	0.999925	5.39e-01	0.5667	0.613824	0.34783086	1459.34	PGM1	phosphoglucomutase 1
4919	0.999925	7.18e-01	0.4489	-0.3614046	-0.16225103	81.77	ROR1	receptor tyrosine kinase like orphan receptor 1
57685	0.999925	6.07e-01	0.2147	0.5142947	0.11040756	77.71	CACHD1	cache domain containing 1
55225	0.999925	6.29e-01	0.179	0.4830273	0.08645535	765.62	RAVER2	ribonucleoprotein, PTB binding 2
3716	0.999925	3.59e-01	0.1992	0.9171245	0.18272814	1486.49	JAK1	Janus kinase 1
205	0.999925	5.52e-01	0.2443	0.5949053	0.1453165	2031.75	AK4	adenylate kinase 4
9829	0.999925	6.79e-01	0.5909	-0.4144506	-0.2448918	89.21	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6
3953	0.999925	6.10e-01	0.3094	0.5104675	0.15794592	130.79	LEPR	leptin receptor
54741	0.999925	6.75e-01	0.3115	-0.4195683	-0.1306806	1388.01	LEPROT	leptin receptor overlapping transcript
79819	0.999925	7.67e-01	0.8024	0.2956488	0.23724047	39.95	DNAI4	dynein axonemal intermediate chain 4
57708	0.999925	7.48e-01	0.3462	-0.3219326	-0.11146422	280.37	MIER1	MIER1 transcriptional regulator
23169	0.999925	5.11e-01	0.3451	-0.6579997	-0.22705109	204.14	SLC35D1	solute carrier family 35 member D1
26135	0.999925	8.23e-01	0.299	-0.22365	-0.06687798	2774.54	SERBP1	SERPINE1 mRNA binding protein 1
1647	0.999925	1.55e-01	0.2871	1.4206529	0.40790372	291.1	GADD45A	growth arrest and DNA damage inducible alpha
55970	0.999925	3.43e-01	0.252	0.9479029	0.23883199	1846.25	GNG12	G protein subunit gamma 12
79971	0.999925	9.07e-01	0.1862	0.1173042	0.02184595	1099.24	WLS	Wnt ligand secretion mediator
6121	0.999925	8.93e-01	1.6171	-0.1339037	-0.21653035	37.2	RPE65	retinoid isomerohydrolase RPE65
55635	0.999925	4.38e-01	0.3854	-0.7749128	-0.2986312	891.23	DEPDC1	DEP domain containing 1
57554	0.999925	5.88e-01	1.1858	0.5416929	0.64234118	71.31	LRRC7	leucine rich repeat containing 7
55631	0.999925	4.50e-01	0.425	-0.755264	-0.32100545	388.22	LRRC40	leucine rich repeat containing 40
9295	0.999925	5.45e-01	0.2654	-0.6050487	-0.16056583	662.49	SRSF11	serine and arginine rich splicing factor 11
81573	0.999925	7.95e-01	0.2984	-0.2595091	-0.07744052	251.36	ANKRD13C	ankyrin repeat domain 13C
11147	0.999925	6.69e-01	0.5126	0.4270262	0.21889736	377.62	HHLA3	HERV-H LTR-associating 3
1491	0.999925	9.28e-01	0.3257	-0.0897648	-0.02923311	167.25	CTH	cystathionine gamma-lyase
100132618	0.999925	3.93e-01	0.2923	-0.8544237	-0.24973284	86.38	ZRANB2-AS1	ZRANB2 antisense RNA 1
9406	0.999925	4.64e-01	0.395	-0.7321375	-0.28920282	320.37	ZRANB2	zinc finger RANBP2-type containing 2
127255	0.999925	9.89e-01	0.5319	-0.0134968	-0.00717875	19.37	LRRIQ3	leucine rich repeats and IQ motif containing 3
100526835	0.999925	9.17e-01	0.4541	-0.1038134	-0.04714043	21.57	FPGT-TNNI3K	FPGT-TNNI3K readthrough
8790	0.999925	2.72e-01	0.3899	-1.09835	-0.42825428	130.66	FPGT	fucose-1-phosphate guanylyltransferase
1429	0.999925	7.63e-01	0.6414	-0.3010701	-0.19309975	345.38	CRYZ	crystallin zeta
127253	0.999925	4.05e-01	0.3067	-0.8321064	-0.255209	240.59	TYW3	tRNA-yW synthesizing protein 3 homolog
34	0.999925	4.49e-01	0.4677	-0.7574027	-0.35426681	272.49	ACADM	acyl-CoA dehydrogenase medium chain
1744	0.999925	4.72e-01	0.4658	0.7184717	0.33467868	172.27	DLSTP1	dihydrolipoamide S-succinyltransferase pseudogene 1
5876	0.999925	4.48e-01	0.4032	-0.7587959	-0.30594742	180.41	RABGGTB	Rab geranylgeranyltransferase subunit beta
81849	0.999925	4.38e-01	1.1048	0.7760031	0.85730503	110.22	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
10026	0.999925	4.44e-01	0.328	-0.7662061	-0.25131181	313.72	PIGK	phosphatidylinositol glycan anchor biosynthesis class K
26009	0.999925	7.21e-01	0.3412	-0.3576011	-0.12199648	373.41	ZZZ3	zinc finger ZZ-type containing 3
23032	0.999925	8.25e-01	0.3637	-0.2216452	-0.08060443	448.16	USP33	ubiquitin specific peptidase 33
374986	0.999925	8.52e-01	0.4802	-0.1865632	-0.08959356	95.38	MIGA1	mitoguardin 1
91624	0.999925	6.03e-01	0.6073	-0.5196412	-0.31555339	53.71	NEXN	nexilin F-actin binding protein
8880	0.999925	4.95e-01	0.2741	-0.6825477	-0.18709266	985.89	FUBP1	far upstream element binding protein 1
11080	0.999925	1.48e-01	0.373	-1.4470186	-0.53970365	83.55	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
54810	0.999925	8.27e-01	1.7618	-0.2183436	-0.38468294	22.77	GIPC2	GIPC PDZ domain containing family member 2
10561	0.999925	9.97e-01	0.8446	0.0033058	0.00279219	73.32	IFI44	interferon induced protein 44
23266	0.999925	8.64e-01	1.0929	-0.1710877	-0.18697738	112.95	ADGRL2	adhesion G protein-coupled receptor L2
5567	0.999925	9.67e-01	2.411	0.0408939	0.09859474	43.95	PRKACB	protein kinase cAMP-activated catalytic subunit beta
80135	0.999925	7.39e-01	0.3385	-0.332788	-0.11266248	461.15	RPF1	ribosome production factor 1 homolog
2787	0.999925	6.96e-01	0.1259	0.3902486	0.04912191	3110.22	GNG5	G protein subunit gamma 5
100505741	0.999925	7.30e-01	0.4024	0.3444805	0.13862141	56.07	SPATA1	spermatogenesis associated 1
1486	0.999925	6.88e-01	0.2902	0.4013978	0.1164961	307.46	CTBS	chitobiase
117178	0.999925	4.35e-01	0.3144	-0.7803853	-0.24535046	155.78	SSX2IP	SSX family member 2 interacting protein
23566	0.999925	9.07e-01	0.883	-0.1171501	-0.10344759	331.62	LPAR3	lysophosphatidic acid receptor 3
255231	0.999925	6.81e-01	1.6524	-0.4111919	-0.67946653	41.55	MCOLN2	mucolipin TRP cation channel 2
55283	0.999925	3.16e-01	1.4683	-1.0020349	-1.47131454	37.93	MCOLN3	mucolipin TRP cation channel 3
84144	0.999925	6.60e-01	0.4131	-0.4399975	-0.18176736	64.36	SYDE2	synapse defective Rho GTPase homolog 2
148423	0.999925	4.77e-01	0.1944	-0.710538	-0.13815686	199.32	C1orf52	chromosome 1 open reading frame 52
8915	0.999925	8.60e-01	0.1704	0.1764733	0.03007529	470.22	BCL10	BCL10 immune signaling adaptor
23576	0.999925	9.95e-01	0.4396	-0.0058288	-0.00256217	986.17	DDAH1	dimethylarginine dimethylaminohydrolase 1
3491	0.999925	9.76e-01	0.5156	0.0301539	0.01554763	181.54	CCN1	cellular communication network factor 1
54680	0.999925	7.93e-01	0.2715	-0.2621452	-0.07116429	152.21	ZNHIT6	zinc finger HIT-type containing 6
57489	0.999925	2.18e-01	0.3662	-1.2324467	-0.45128576	63.19	ODF2L	outer dense fiber of sperm tails 2 like
